drug_1_rxnorn_id,drug_1_concept_name,drug_2_rxnorm_id,drug_2_concept_name,condition_meddra_id,condition_concept_name,A,B,C,D,PRR,PRR_error,mean_reporting_frequency,PRR_float,label
10355,Temazepam,136411,sildenafil,10008190,Cerebrovascular accident,1,155,20,1540,0.5,1.02125,0.00641026,0.5,0
10355,Temazepam,136411,sildenafil,10033371,Pain,9,147,50,1510,1.8,0.352221,0.0576923,1.8,1
7781,Oxazepam,9863,Sodium Chloride,10033371,Pain,1,34,7,343,1.42857,1.05424,0.0285714,1.42857,1
7781,Oxazepam,9863,Sodium Chloride,10064355,Incorrect dose administered,1,34,1,349,10.0,1.40306,0.0285714,10.0,1
10355,Temazepam,136411,sildenafil,10052428,Wound,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10016256,Fatigue,19,137,54,1506,3.51852,0.253177,0.121795,3.51852,1
10355,Temazepam,136411,sildenafil,10017885,Gastrooesophageal reflux disease,6,150,7,1553,8.57143,0.549975,0.0384615,8.57143,1
10355,Temazepam,136411,sildenafil,10040753,Sinusitis,2,154,11,1549,1.81818,0.764106,0.0128205,1.81818,1
10355,Temazepam,136411,sildenafil,10016173,Fall,10,146,27,1533,3.7037,0.360535,0.0641026,3.7037,1
7781,Oxazepam,9863,Sodium Chloride,10016173,Fall,1,34,10,340,1.0,1.03372,0.0285714,1.0,0
10355,Temazepam,136411,sildenafil,10006002,Bone pain,1,155,4,1556,2.5,1.11488,0.00641026,2.5,1
10355,Temazepam,136411,sildenafil,10028813,Nausea,11,145,67,1493,1.64179,0.314298,0.0705128,1.64179,1
7781,Oxazepam,9863,Sodium Chloride,10028813,Nausea,1,34,18,332,0.555556,1.01199,0.0285714,0.555556,0
10355,Temazepam,136411,sildenafil,10033775,Paraesthesia,5,151,11,1549,4.54545,0.532783,0.0320513,4.54545,1
10355,Temazepam,136411,sildenafil,10049438,General physical health deterioration,3,153,9,1551,3.33333,0.661357,0.0192308,3.33333,1
7781,Oxazepam,9863,Sodium Chloride,10049438,General physical health deterioration,2,33,3,347,6.66667,0.895491,0.0571429,6.66667,1
10355,Temazepam,136411,sildenafil,10000081,Abdominal pain,5,151,12,1548,4.16667,0.525625,0.0320513,4.16667,1
7781,Oxazepam,9863,Sodium Chloride,10000081,Abdominal pain,1,34,5,345,2.0,1.081,0.0285714,2.0,1
10355,Temazepam,136411,sildenafil,10002855,Anxiety,15,141,34,1526,4.41176,0.298374,0.0961538,4.41176,1
10355,Temazepam,136411,sildenafil,10049119,Emotional distress,4,152,8,1552,5.0,0.606588,0.025641,5.0,1
10355,Temazepam,136411,sildenafil,10022116,Injury,12,144,13,1547,9.23077,0.391414,0.0769231,9.23077,1
10355,Temazepam,136411,sildenafil,10027175,Memory impairment,2,154,13,1547,1.53846,0.754899,0.0128205,1.53846,1
10355,Temazepam,136411,sildenafil,10037844,Rash,4,152,29,1531,1.37931,0.526718,0.025641,1.37931,1
10355,Temazepam,136411,sildenafil,10001551,Alanine aminotransferase increased,3,153,4,1556,7.5,0.759132,0.0192308,7.5,1
10355,Temazepam,136411,sildenafil,10013687,Drug eruption,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10008479,Chest pain,7,149,21,1539,3.33333,0.428281,0.0448718,3.33333,1
10355,Temazepam,136411,sildenafil,10013968,Dyspnoea,20,136,46,1514,4.34783,0.254338,0.128205,4.34783,1
7781,Oxazepam,9863,Sodium Chloride,10013968,Dyspnoea,2,33,15,335,1.33333,0.7316,0.0571429,1.33333,1
10355,Temazepam,136411,sildenafil,10042209,Stress,1,155,8,1552,1.25,1.05733,0.00641026,1.25,1
10355,Temazepam,136411,sildenafil,10003549,Asthenia,11,145,27,1533,4.07407,0.347699,0.0705128,4.07407,1
7781,Oxazepam,9863,Sodium Chloride,10003549,Asthenia,1,34,3,347,3.33333,1.14101,0.0285714,3.33333,1
10355,Temazepam,136411,sildenafil,10012378,Depression,12,144,30,1530,4.0,0.331082,0.0769231,4.0,1
10355,Temazepam,136411,sildenafil,10013911,Dysgeusia,2,154,7,1553,2.85714,0.797374,0.0128205,2.85714,1
10355,Temazepam,136411,sildenafil,10047895,Weight decreased,10,146,13,1547,7.69231,0.412155,0.0641026,7.69231,1
10355,Temazepam,136411,sildenafil,10037087,Pruritus,3,153,31,1529,0.967742,0.598782,0.0192308,0.967742,0
7781,Oxazepam,9863,Sodium Chloride,10037087,Pruritus,1,34,4,346,2.5,1.10389,0.0285714,2.5,1
10355,Temazepam,136411,sildenafil,10016322,Feeling abnormal,2,154,18,1542,1.11111,0.740611,0.0128205,1.11111,1
7781,Oxazepam,9863,Sodium Chloride,10016322,Feeling abnormal,1,34,3,347,3.33333,1.14101,0.0285714,3.33333,1
10355,Temazepam,136411,sildenafil,10028334,Muscle spasms,2,154,15,1545,1.33333,0.748074,0.0128205,1.33333,1
10355,Temazepam,136411,sildenafil,10029412,Nightmare,1,155,5,1555,2.0,1.09222,0.00641026,2.0,1
10355,Temazepam,136411,sildenafil,10010904,Convulsion,1,155,23,1537,0.434783,1.01805,0.00641026,0.434783,0
10355,Temazepam,136411,sildenafil,10020642,Hyperhidrosis,3,153,10,1550,3.0,0.652903,0.0192308,3.0,1
10355,Temazepam,136411,sildenafil,10046555,Urinary retention,3,153,2,1558,15.0,0.909001,0.0192308,15.0,1
10355,Temazepam,136411,sildenafil,10013573,Dizziness,18,138,49,1511,3.67347,0.262512,0.115385,3.67347,1
10355,Temazepam,136411,sildenafil,10018884,Haemoglobin decreased,6,150,11,1549,5.45455,0.500524,0.0384615,5.45455,1
10355,Temazepam,136411,sildenafil,10047942,White blood cell count decreased,1,155,12,1548,0.833333,1.03744,0.00641026,0.833333,0
10355,Temazepam,136411,sildenafil,10006784,Burning sensation,2,154,9,1551,2.22222,0.777213,0.0128205,2.22222,1
10355,Temazepam,136411,sildenafil,10016825,Flushing,7,149,15,1545,4.66667,0.449969,0.0448718,4.66667,1
10355,Temazepam,136411,sildenafil,10061114,Economic problem,5,151,1,1559,50.0,1.09222,0.0320513,50.0,1
10355,Temazepam,136411,sildenafil,10002511,Anhedonia,4,152,5,1555,8.0,0.665544,0.025641,8.0,1
10355,Temazepam,136411,sildenafil,10017955,Gastrointestinal haemorrhage,4,152,3,1557,13.3333,0.759132,0.025641,13.3333,1
10355,Temazepam,136411,sildenafil,10003664,Atrial septal defect,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10012374,Depressed mood,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10013709,Drug ineffective,13,143,83,1477,1.56627,0.286217,0.0833333,1.56627,1
7781,Oxazepam,9863,Sodium Chloride,10013709,Drug ineffective,1,34,13,337,0.769231,1.02249,0.0285714,0.769231,0
10355,Temazepam,136411,sildenafil,10051055,Deep vein thrombosis,6,150,14,1546,4.28571,0.48067,0.0384615,4.28571,1
10355,Temazepam,136411,sildenafil,10020100,Hip fracture,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10022437,Insomnia,11,145,24,1536,4.58333,0.354294,0.0705128,4.58333,1
10355,Temazepam,136411,sildenafil,10022687,Intestinal obstruction,1,155,4,1556,2.5,1.11488,0.00641026,2.5,1
10355,Temazepam,136411,sildenafil,10028391,Musculoskeletal pain,1,155,7,1553,1.42857,1.06574,0.00641026,1.42857,1
10355,Temazepam,136411,sildenafil,10028735,Nasal congestion,2,154,6,1554,3.33333,0.812167,0.0128205,3.33333,1
10355,Temazepam,136411,sildenafil,10028836,Neck pain,1,155,6,1554,1.66667,1.07685,0.00641026,1.66667,1
10355,Temazepam,136411,sildenafil,10039227,Rotator cuff syndrome,2,154,3,1557,6.66667,0.909001,0.0128205,6.66667,1
10355,Temazepam,136411,sildenafil,10041569,Spinal fracture,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10037867,Rash macular,1,155,3,1557,3.33333,1.15164,0.00641026,3.33333,1
10355,Temazepam,136411,sildenafil,10015150,Erythema,2,154,13,1547,1.53846,0.754899,0.0128205,1.53846,1
10355,Temazepam,136411,sildenafil,10022998,Irritability,5,151,3,1557,16.6667,0.725453,0.0320513,16.6667,1
7781,Oxazepam,9863,Sodium Chloride,10024384,Leukopenia,1,34,1,349,10.0,1.40306,0.0285714,10.0,1
10355,Temazepam,136411,sildenafil,10002034,Anaemia,9,147,16,1544,5.625,0.408117,0.0576923,5.625,1
10355,Temazepam,136411,sildenafil,10042458,Suicidal ideation,3,153,6,1554,5.0,0.702103,0.0192308,5.0,1
10355,Temazepam,136411,sildenafil,10043554,Thrombocytopenia,3,153,9,1551,3.33333,0.661357,0.0192308,3.33333,1
10355,Temazepam,136411,sildenafil,10008611,Cholecystectomy,2,154,2,1558,10.0,0.996468,0.0128205,10.0,1
10355,Temazepam,136411,sildenafil,10061822,Drug intolerance,2,154,4,1556,5.0,0.861945,0.0128205,5.0,1
10355,Temazepam,136411,sildenafil,10017853,Gastritis,2,154,9,1551,2.22222,0.777213,0.0128205,2.22222,1
10355,Temazepam,136411,sildenafil,10020772,Hypertension,9,147,25,1535,3.6,0.379552,0.0576923,3.6,1
10355,Temazepam,136411,sildenafil,10031161,Osteoarthritis,3,153,6,1554,5.0,0.702103,0.0192308,5.0,1
10355,Temazepam,136411,sildenafil,10049088,Osteopenia,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10039117,Rib fracture,3,153,2,1558,15.0,0.909001,0.0192308,15.0,1
10355,Temazepam,136411,sildenafil,10041591,Spinal osteoarthritis,3,153,2,1558,15.0,0.909001,0.0192308,15.0,1
10355,Temazepam,136411,sildenafil,10002368,Anger,1,155,3,1557,3.33333,1.15164,0.00641026,3.33333,1
10355,Temazepam,136411,sildenafil,10039073,Rheumatoid arthritis,2,154,6,1554,3.33333,0.812167,0.0128205,3.33333,1
10355,Temazepam,136411,sildenafil,10003246,Arthritis,2,154,7,1553,2.85714,0.797374,0.0128205,2.85714,1
10355,Temazepam,136411,sildenafil,10012601,Diabetes mellitus,6,150,11,1549,5.45455,0.500524,0.0384615,5.45455,1
10355,Temazepam,136411,sildenafil,10000059,Abdominal discomfort,1,155,11,1549,0.909091,1.04108,0.00641026,0.909091,0
10355,Temazepam,136411,sildenafil,10028810,Nasopharyngitis,2,154,14,1546,1.42857,0.751251,0.0128205,1.42857,1
10355,Temazepam,136411,sildenafil,10033425,Pain in extremity,8,148,29,1531,2.75862,0.390425,0.0512821,2.75862,1
7781,Oxazepam,9863,Sodium Chloride,10033425,Pain in extremity,1,34,5,345,2.0,1.081,0.0285714,2.0,1
10355,Temazepam,136411,sildenafil,10001488,Aggression,1,155,8,1552,1.25,1.05733,0.00641026,1.25,1
10355,Temazepam,136411,sildenafil,10014551,Emotional disorder,2,154,3,1557,6.66667,0.909001,0.0128205,6.66667,1
10355,Temazepam,136411,sildenafil,10018800,Gynaecomastia,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10027599,Migraine,4,152,5,1555,8.0,0.665544,0.025641,8.0,1
10355,Temazepam,136411,sildenafil,10029883,Obesity,4,152,1,1559,40.0,1.11488,0.025641,40.0,1
10355,Temazepam,136411,sildenafil,10043118,Tardive dyskinesia,2,154,7,1553,2.85714,0.797374,0.0128205,2.85714,1
10355,Temazepam,136411,sildenafil,10000087,Abdominal pain upper,5,151,13,1547,3.84615,0.519492,0.0320513,3.84615,1
10355,Temazepam,136411,sildenafil,10017822,Gastric ulcer,1,155,3,1557,3.33333,1.15164,0.00641026,3.33333,1
10355,Temazepam,136411,sildenafil,10028154,Multi-organ failure,1,155,8,1552,1.25,1.05733,0.00641026,1.25,1
10355,Temazepam,136411,sildenafil,10042361,Subdural haematoma,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10013395,Disorientation,1,155,9,1551,1.11111,1.05074,0.00641026,1.11111,1
10355,Temazepam,136411,sildenafil,10024855,Loss of consciousness,3,153,7,1553,4.28571,0.684937,0.0192308,4.28571,1
10355,Temazepam,136411,sildenafil,10041349,Somnolence,3,153,15,1545,2.0,0.626856,0.0192308,2.0,1
10355,Temazepam,136411,sildenafil,10039203,Road traffic accident,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10010305,Confusional state,3,153,22,1538,1.36364,0.609702,0.0192308,1.36364,1
10355,Temazepam,136411,sildenafil,10019304,Heart rate irregular,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10053762,Off label use,3,153,21,1539,1.42857,0.611475,0.0192308,1.42857,1
7781,Oxazepam,9863,Sodium Chloride,10053762,Off label use,1,34,2,348,5.0,1.21185,0.0285714,5.0,1
10355,Temazepam,136411,sildenafil,10035528,Platelet count decreased,3,153,9,1551,3.33333,0.661357,0.0192308,3.33333,1
10355,Temazepam,136411,sildenafil,10047943,White blood cell count increased,1,155,7,1553,1.42857,1.06574,0.00641026,1.42857,1
10355,Temazepam,136411,sildenafil,10044565,Tremor,2,154,16,1544,1.25,0.745284,0.0128205,1.25,1
10355,Temazepam,136411,sildenafil,10021789,Infection,5,151,5,1555,10.0,0.626856,0.0320513,10.0,1
7781,Oxazepam,9863,Sodium Chloride,10021789,Infection,1,34,5,345,2.0,1.081,0.0285714,2.0,1
10355,Temazepam,136411,sildenafil,10029354,Neutropenia,3,153,7,1553,4.28571,0.684937,0.0192308,4.28571,1
10355,Temazepam,136411,sildenafil,10018836,Haematochezia,2,154,1,1559,20.0,1.22186,0.0128205,20.0,1
10355,Temazepam,136411,sildenafil,10047513,Vision blurred,3,153,8,1552,3.75,0.671775,0.0192308,3.75,1
7781,Oxazepam,9863,Sodium Chloride,10064353,Wrong technique in drug usage process,3,32,3,347,10.0,0.797018,0.0857143,10.0,1
10355,Temazepam,136411,sildenafil,10054112,Hospitalisation,1,155,4,1556,2.5,1.11488,0.00641026,2.5,1
10355,Temazepam,136411,sildenafil,10061218,Inflammation,2,154,3,1557,6.66667,0.909001,0.0128205,6.66667,1
10355,Temazepam,136411,sildenafil,10020937,Hypoaesthesia,4,152,17,1543,2.35294,0.549338,0.025641,2.35294,1
10355,Temazepam,136411,sildenafil,10048334,Mobility decreased,2,154,3,1557,6.66667,0.909001,0.0128205,6.66667,1
10355,Temazepam,136411,sildenafil,10028411,Myalgia,4,152,18,1542,2.22222,0.546355,0.025641,2.22222,1
10355,Temazepam,136411,sildenafil,10008469,Chest discomfort,2,154,11,1549,1.81818,0.764106,0.0128205,1.81818,1
7781,Oxazepam,9863,Sodium Chloride,10008469,Chest discomfort,1,34,4,346,2.5,1.10389,0.0285714,2.5,1
10355,Temazepam,136411,sildenafil,10047461,Viral infection,2,154,3,1557,6.66667,0.909001,0.0128205,6.66667,1
7781,Oxazepam,9863,Sodium Chloride,10019303,Heart rate increased,1,34,1,349,10.0,1.40306,0.0285714,10.0,1
10355,Temazepam,136411,sildenafil,10052904,Musculoskeletal stiffness,2,154,6,1554,3.33333,0.812167,0.0128205,3.33333,1
10355,Temazepam,136411,sildenafil,10035664,Pneumonia,6,150,29,1531,2.06897,0.440566,0.0384615,2.06897,1
7781,Oxazepam,9863,Sodium Chloride,10035664,Pneumonia,2,33,5,345,4.0,0.817662,0.0571429,4.0,1
10355,Temazepam,136411,sildenafil,10037660,Pyrexia,10,146,37,1523,2.7027,0.346375,0.0641026,2.7027,1
7781,Oxazepam,9863,Sodium Chloride,10037660,Pyrexia,2,33,7,343,2.85714,0.781939,0.0571429,2.85714,1
10355,Temazepam,136411,sildenafil,10010264,Condition aggravated,7,149,17,1543,4.11765,0.441168,0.0448718,4.11765,1
10355,Temazepam,136411,sildenafil,10061818,Disease progression,1,155,13,1547,0.769231,1.03435,0.00641026,0.769231,0
10355,Temazepam,136411,sildenafil,10064911,Pulmonary arterial hypertension,3,153,2,1558,15.0,0.909001,0.0192308,15.0,1
10355,Temazepam,136411,sildenafil,10007554,Cardiac failure,2,154,10,1550,2.0,0.770032,0.0128205,2.0,1
10355,Temazepam,136411,sildenafil,10038435,Renal failure,6,150,12,1548,5.0,0.492898,0.0384615,5.0,1
7781,Oxazepam,9863,Sodium Chloride,10038435,Renal failure,1,34,2,348,5.0,1.21185,0.0285714,5.0,1
10355,Temazepam,136411,sildenafil,10003658,Atrial fibrillation,7,149,14,1546,5.0,0.45523,0.0448718,5.0,1
10355,Temazepam,136411,sildenafil,10064684,Device dislocation,1,155,6,1554,1.66667,1.07685,0.00641026,1.66667,1
10355,Temazepam,136411,sildenafil,10039580,Scar,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10005557,Blood glucose increased,1,155,16,1544,0.625,1.02735,0.00641026,0.625,0
10355,Temazepam,136411,sildenafil,10019663,Hepatic failure,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
7781,Oxazepam,9863,Sodium Chloride,10019663,Hepatic failure,1,34,1,349,10.0,1.40306,0.0285714,10.0,1
10355,Temazepam,136411,sildenafil,10003553,Asthma,1,155,7,1553,1.42857,1.06574,0.00641026,1.42857,1
10355,Temazepam,136411,sildenafil,10060933,Adverse event,1,155,10,1550,1.0,1.04544,0.00641026,1.0,0
10355,Temazepam,136411,sildenafil,10013036,Diplopia,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10021114,Hypothyroidism,1,155,6,1554,1.66667,1.07685,0.00641026,1.66667,1
10355,Temazepam,136411,sildenafil,10002383,Angina pectoris,1,155,6,1554,1.66667,1.07685,0.00641026,1.66667,1
10355,Temazepam,136411,sildenafil,10033661,Pancytopenia,1,155,3,1557,3.33333,1.15164,0.00641026,3.33333,1
10355,Temazepam,136411,sildenafil,10047924,Wheezing,1,155,3,1557,3.33333,1.15164,0.00641026,3.33333,1
10355,Temazepam,136411,sildenafil,10025102,Lung infiltration,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10064658,Osteonecrosis of jaw,4,152,2,1558,20.0,0.861945,0.025641,20.0,1
10355,Temazepam,136411,sildenafil,10062519,Poor quality sleep,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10007739,Cataract,1,155,9,1551,1.11111,1.05074,0.00641026,1.11111,1
10355,Temazepam,136411,sildenafil,10061428,Decreased appetite,2,154,19,1541,1.05263,0.738634,0.0128205,1.05263,1
7781,Oxazepam,9863,Sodium Chloride,10061428,Decreased appetite,2,33,4,346,5.0,0.847686,0.0571429,5.0,1
10355,Temazepam,136411,sildenafil,10013781,Dry mouth,1,155,7,1553,1.42857,1.06574,0.00641026,1.42857,1
10355,Temazepam,136411,sildenafil,10013971,Dyspnoea exertional,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10021015,Hypokalaemia,1,155,10,1550,1.0,1.04544,0.00641026,1.0,0
10355,Temazepam,136411,sildenafil,10031009,Oral pain,2,154,3,1557,6.66667,0.909001,0.0128205,6.66667,1
10355,Temazepam,136411,sildenafil,10033433,Pain in jaw,4,152,4,1556,10.0,0.702103,0.025641,10.0,1
10355,Temazepam,136411,sildenafil,10036018,Pollakiuria,3,153,3,1557,10.0,0.812167,0.0192308,10.0,1
10355,Temazepam,136411,sildenafil,10040560,Shock,1,155,5,1555,2.0,1.09222,0.00641026,2.0,1
10355,Temazepam,136411,sildenafil,10040829,Skin discolouration,2,154,1,1559,20.0,1.22186,0.0128205,20.0,1
10355,Temazepam,136411,sildenafil,10041235,Snoring,1,155,3,1557,3.33333,1.15164,0.00641026,3.33333,1
10355,Temazepam,136411,sildenafil,10046543,Urinary incontinence,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10046735,Urticaria,2,154,8,1552,2.5,0.786097,0.0128205,2.5,1
7781,Oxazepam,9863,Sodium Chloride,10046735,Urticaria,1,34,4,346,2.5,1.10389,0.0285714,2.5,1
10355,Temazepam,136411,sildenafil,10028372,Muscular weakness,6,150,10,1550,6.0,0.509525,0.0384615,6.0,1
10355,Temazepam,136411,sildenafil,10045285,Ulcer,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10013554,Diverticulum,3,153,3,1557,10.0,0.812167,0.0192308,10.0,1
10355,Temazepam,136411,sildenafil,10020993,Hypoglycaemia,1,155,7,1553,1.42857,1.06574,0.00641026,1.42857,1
7781,Oxazepam,9863,Sodium Chloride,10020993,Hypoglycaemia,2,33,2,348,10.0,0.98416,0.0571429,10.0,1
10355,Temazepam,136411,sildenafil,10056819,Gastric disorder,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10029148,Nephrolithiasis,2,154,4,1556,5.0,0.861945,0.0128205,5.0,1
10355,Temazepam,136411,sildenafil,10031282,Osteoporosis,3,153,3,1557,10.0,0.812167,0.0192308,10.0,1
10355,Temazepam,136411,sildenafil,10033645,Pancreatitis,3,153,12,1548,2.5,0.640012,0.0192308,2.5,1
10355,Temazepam,136411,sildenafil,10008531,Chills,4,152,15,1545,2.66667,0.556431,0.025641,2.66667,1
10355,Temazepam,136411,sildenafil,10017577,Gait disturbance,7,149,16,1544,4.375,0.445315,0.0448718,4.375,1
10355,Temazepam,136411,sildenafil,10022004,Influenza like illness,4,152,8,1552,5.0,0.606588,0.025641,5.0,1
10355,Temazepam,136411,sildenafil,10044055,Toothache,2,154,5,1555,4.0,0.832435,0.0128205,4.0,1
10355,Temazepam,136411,sildenafil,10012373,Depressed level of consciousness,3,153,6,1554,5.0,0.702103,0.0192308,5.0,1
10355,Temazepam,136411,sildenafil,10058080,Staphylococcal infection,2,154,2,1558,10.0,0.996468,0.0128205,10.0,1
10355,Temazepam,136411,sildenafil,10043882,Tinnitus,2,154,3,1557,6.66667,0.909001,0.0128205,6.66667,1
10355,Temazepam,136411,sildenafil,10070863,Toxicity to various agents,1,155,4,1556,2.5,1.11488,0.00641026,2.5,1
10355,Temazepam,136411,sildenafil,10027940,Mood altered,1,155,4,1556,2.5,1.11488,0.00641026,2.5,1
10355,Temazepam,136411,sildenafil,10034474,Pericardial effusion,1,155,4,1556,2.5,1.11488,0.00641026,2.5,1
10355,Temazepam,136411,sildenafil,10013654,Drug abuse,1,155,5,1555,2.0,1.09222,0.00641026,2.0,1
10355,Temazepam,136411,sildenafil,10021143,Hypoxia,8,148,3,1557,26.6667,0.671775,0.0512821,26.6667,1
10355,Temazepam,136411,sildenafil,10038436,Renal failure acute,4,152,14,1546,2.85714,0.560694,0.025641,2.85714,1
7781,Oxazepam,9863,Sodium Chloride,10038436,Renal failure acute,1,34,3,347,3.33333,1.14101,0.0285714,3.33333,1
10355,Temazepam,136411,sildenafil,10039020,Rhabdomyolysis,1,155,3,1557,3.33333,1.15164,0.00641026,3.33333,1
10355,Temazepam,136411,sildenafil,10037423,Pulmonary oedema,1,155,10,1550,1.0,1.04544,0.00641026,1.0,0
10355,Temazepam,136411,sildenafil,10018304,Glaucoma,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10049848,Balance disorder,1,155,6,1554,1.66667,1.07685,0.00641026,1.66667,1
10355,Temazepam,136411,sildenafil,10037368,Pulmonary congestion,2,154,1,1559,20.0,1.22186,0.0128205,20.0,1
10355,Temazepam,136411,sildenafil,10016334,Feeling hot,2,154,7,1553,2.85714,0.797374,0.0128205,2.85714,1
10355,Temazepam,136411,sildenafil,10006580,Bundle branch block left,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10009033,Chronic obstructive pulmonary disease,5,151,3,1557,16.6667,0.725453,0.0320513,16.6667,1
10355,Temazepam,136411,sildenafil,10020646,Hyperkalaemia,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10042772,Syncope,5,151,6,1554,8.33333,0.599679,0.0320513,8.33333,1
7781,Oxazepam,9863,Sodium Chloride,10042772,Syncope,1,34,3,347,3.33333,1.14101,0.0285714,3.33333,1
10355,Temazepam,136411,sildenafil,10046306,Upper respiratory tract infection,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10051398,Malignant neoplasm progression,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10012318,Dental caries,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10013538,Diverticulitis,1,155,1,1559,10.0,1.41172,0.00641026,10.0,1
10355,Temazepam,136411,sildenafil,10013678,Drug effect decreased,1,155,4,1556,2.5,1.11488,0.00641026,2.5,1
10355,Temazepam,136411,sildenafil,10017944,Gastrointestinal disorder,1,155,6,1554,1.66667,1.07685,0.00641026,1.66667,1
10355,Temazepam,136411,sildenafil,10020028,Hiatus hernia,3,153,1,1559,30.0,1.15164,0.0192308,30.0,1
10355,Temazepam,136411,sildenafil,10028034,Mouth ulceration,2,154,2,1558,10.0,0.996468,0.0128205,10.0,1
10355,Temazepam,136411,sildenafil,10022000,Influenza,2,154,3,1557,6.66667,0.909001,0.0128205,6.66667,1
